FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame type by frame stock ,Unit/strip,Process,Data_Before_Filter,Data_After_Filter
F30027,3.0,229.2,MH-45F140033EAN,4X4.5,GQFN,,560.0,,0,0
F30027,3.0,229.2,MHC45F140033EAN,4X4.5,GQFN,,560.0,,0,0
F30027,3.0,229.2,MHY45M240033EAJ,4X4.5,GQFN,,560.0,,0,0
F30027,3.0,229.2,MHY45M240033EAN,4X4.5,GQFN,,560.0,,0,0
F30027,3.0,229.2,MHZ45M240033EAN,4X4.5,GQFN,,560.0,,0,0
F30043,1.0,257.89,MHC90M290064E1J,9X9,GQFN,,120.0,,0,0
F30043,1.0,257.89,MHC90M290064EAN,9X9,GQFN,,120.0,,0,0
F30043,1.0,257.89,MHC90M390064E1J,9X9,GQFN,,120.0,,0,0
F30043,1.0,257.89,MHC90M390064E1N,9X9,GQFN,,120.0,,0,0
F30043,1.0,257.89,MHC90M390064EAN,9X9,GQFN,,120.0,,0,0
F30043,5.0,212.92,MHC90M290064E1J,9X9,GQFN,,120.0,,0,0
F30043,5.0,212.92,MHC90M290064EAN,9X9,GQFN,,120.0,,0,0
F30043,5.0,212.92,MHC90M390064E1J,9X9,GQFN,,120.0,,0,0
F30043,5.0,212.92,MHC90M390064E1N,9X9,GQFN,,120.0,,0,0
F30043,5.0,212.92,MHC90M390064EAN,9X9,GQFN,,120.0,,0,0
F30044,5.0,310.14,XHC16E114006AAJ,1.6X1.4,GQFN,,3300.0,,0,0
F30044,5.0,310.14,XHC16E114006AAN,1.6X1.4,GQFN,,3300.0,,0,0
F30045,1.0,282.33,MHC90M290064E1J,9X9,GQFN,,120.0,,0,0
F30045,1.0,282.33,MHC90M290064E1N,9X9,GQFN,,120.0,,0,0
F30045,1.0,282.33,MHC90M390064E1J,9X9,GQFN,,120.0,,0,0
F30045,1.0,282.33,MHC90M390064E1N,9X9,GQFN,,120.0,,0,0
F30045,1.0,282.33,MHC90M390064EAN,9X9,GQFN,,120.0,,0,0
F30045,5.0,166.86,MHC90M290064E1J,9X9,GQFN,,120.0,,0,0
F30045,5.0,166.86,MHC90M290064E1N,9X9,GQFN,,120.0,,0,0
F30045,5.0,166.86,MHC90M390064E1J,9X9,GQFN,,120.0,,0,0
F30045,5.0,166.86,MHC90M390064E1N,9X9,GQFN,,120.0,,0,0
F30045,5.0,166.86,MHC90M390064EAN,9X9,GQFN,,120.0,,0,0
F30047,3.0,183.1,HHC40E150018TAJ,4X5,GQFN,,495.0,,0,0
F30055,3.0,142.41,HHG90M390035TAJ,9X9,GQFN,,120.0,,0,0
F30056,2.0,226.74,HHC50E260016TAJ,5X6,GQFN,,315.0,,0,0
F30056,2.0,226.74,HHC50M260016TAJ,5X6,GQFN,,315.0,,0,0
F30056,5.0,154.49,HHC50E260016TAJ,5X6,GQFN,,315.0,,0,0
F30056,5.0,154.49,HHC50M260016TAJ,5X6,GQFN,,315.0,,0,0
F3045F,5.0,124.14,,,NAN,,,,0,0
F40026,3.0,290.06,PQ-300E300B016P,3X3,QFN,Full PPF,1170.0,,8,8
F40038,2.0,795.11,PDC135E100L008D,1.35X1,QFN,0,5425.0,,1,0
F40038,2.0,795.11,PDC135E100L008P,1.35X1,QFN,0,5425.0,,1,0
F69039,3.0,967.23,GS-1BN11F010UAN,1.15X1.55,MIS,,5724.0,,0,0
F69041,3.0,197.27,GS-50P250032UAN,5X5,MIS,,504.0,,0,0
F69061,3.0,253.28,TSQ40P160034SAN,6X4,MIS,,520.0,,0,0
F69086,3.0,468.48,GS-30N140024CAN,3X4,MIS,,1088.0,,0,0
F70021,3.0,268.0,EQ-250D450L034D,2.5X4.5,QFN,0,900.0,,1,0
F70021,3.0,268.0,EQ-250D450L034P,2.5X4.5,QFN,0,900.0,,1,0
F70021,3.0,268.0,EQC250D450L034D,2.5X4.5,QFN,0,900.0,,1,0
F70021,3.0,268.0,EQC250D450L034P,2.5X4.5,QFN,0,900.0,,1,0
F70022,5.0,236.37,TQ-258E258B014C,2.58X2.58,QFN,Copper,1575.0,,1,0
F70022,5.0,236.37,TQ-258E258B014N,2.58X2.58,QFN,Copper,1575.0,,1,0
F70023,3.0,305.36,EQ-300E400Z021F,3X4,QFN,Selective PPF,910.0,,2,2
F70023,3.0,305.36,EQ-300E400Z021M,3X4,QFN,Selective PPF,910.0,,2,2
F70023,3.0,305.36,EQ-300E400Z021W,3X4,QFN,Selective PPF,910.0,,2,2
F70023,4.0,251.06,EQ-300E400Z021F,3X4,QFN,Selective PPF,910.0,,0,0
F70023,4.0,251.06,EQ-300E400Z021M,3X4,QFN,Selective PPF,910.0,,0,0
F70023,4.0,251.06,EQ-300E400Z021W,3X4,QFN,Selective PPF,910.0,,0,0
F70025,5.0,197.99,EQC500E500B032U,5X5,QFN,0,440.0,,13,12
F70026,3.0,379.36,EQ-200E200B012C,2X2,QFN,0,2470.0,,9,8
F70026,3.0,379.36,EQ-200E200B012N,2X2,QFN,0,2470.0,,9,8
F70026,5.0,369.51,EQ-200E200B012C,2X2,QFN,0,2470.0,,5,5
F70026,5.0,369.51,EQ-200E200B012N,2X2,QFN,0,2470.0,,5,5
F70029,3.0,305.36,EQ-300E400Z021M,3X4,QFN,Selective PPF,910.0,,2,2
F70029,4.0,222.05,EQ-300E400Z021M,3X4,QFN,Selective PPF,910.0,,0,0
F70034,3.0,356.82,EQ-200E300B014M,3X2,QFN,Selective PPF,1710.0,,1,0
F76001,3.0,222.64,EQ-350E3501022C,3.5X3.5,SLP,,880.0,Step Cut,0,0
F76001,3.0,222.64,EQ-350E3501022N,3.5X3.5,SLP,,880.0,Step Cut,0,0
F76005,2.0,257.39,EQ-500E5001032U,5X5,SLP,,440.0,,0,0
F76005,2.0,257.39,EQC500E500B032U,5X5,QFN,0,440.0,,0,0
F76005,5.0,158.36,EQ-500E5001032U,5X5,SLP,,440.0,Full Cut,0,0
F76005,5.0,197.99,EQC500E500B032U,5X5,QFN,0,440.0,,13,12
F76009,5.0,458.57,EQ-350E3751017W,3.5X3.75,SLP,,770.0,Full Cut,0,0
F76009,5.0,458.57,TQ-350E3751017W,3.5X3.75,SLP,,770.0,Full Cut,0,0
F7A009,5.0,197.99,KQC500S500Z023A,5X5,QFN,0,440.0,,13,12
F7A014,5.0,265.36,TQ-350E4501024N,3.5X4.5,SLP,,660.0,Full Cut,0,0
