FRAME_STOCK,SPEED,TIME/STRIP,PACKAGE_CODE
FR0015,5.0,159.46,TQ-700E800B052K
FR0015,5.0,159.46,TQ-700M800B052A
FR0018,5.0,238.84,NQ-400E400B024A
FR0018,5.0,238.84,NQ-400E400B024K
FR0018,5.0,238.84,NQC400E400B024A
FR0018,5.0,238.84,TQ-400E400B024A
FR0018,5.0,238.84,TQ-400E400X024A
FR0018,5.0,238.84,TQC400E400B024A
FR0022,5.0,238.4,NQ-300E3001016A
FR0022,5.0,238.4,NQ-300E300B016A
FR0022,5.0,238.4,NQ-300E300B016K
FR0022,5.0,238.4,NQC300E3001016A
FR0022,5.0,238.4,NQC300E300B016A
FR0022,5.0,238.4,NQC300E300B016K
FR0022,5.0,238.4,TQ-300E300B016A
FR0022,5.0,238.4,TQC300E300B016A
FR0023,3.0,575.24,ND-300E3001010A
FR0023,3.0,575.24,ND-300E3001010K
FR0023,3.0,575.24,ND-300E300B010A
FR0023,3.0,575.24,ND-300E300B010K
FR0023,3.0,575.24,ND-300E300X010A
FR0023,3.0,575.24,ND-300E300X010K
FR0023,3.0,575.24,ND-300S300B010A
FR0023,3.0,575.24,NDC300E3001010K
FR0023,3.0,575.24,NDC300E300X010K
FR0023,3.0,575.24,NDC300E300X010U
FR0023,3.0,575.24,TD-300E300B010A
FR0023,5.0,358.62,ND-300E3001010A
FR0023,5.0,358.62,ND-300E3001010K
FR0023,5.0,358.62,ND-300E300B010A
FR0023,5.0,358.62,ND-300E300B010K
FR0023,5.0,358.62,ND-300E300X010A
FR0023,5.0,358.62,ND-300E300X010K
FR0023,5.0,358.62,ND-300S300B010A
FR0023,5.0,358.62,NDC300E3001010K
FR0023,5.0,358.62,NDC300E300X010K
FR0023,5.0,358.62,NDC300E300X010U
FR0023,5.0,358.62,TD-300E300B010A
FR0025,5.0,171.38,NQ-500E500B032A
FR0025,5.0,171.38,NQ-500M500B032A
FR0025,5.0,171.38,NQ-500S500B032A
FR0025,5.0,171.38,NQC500E500B032A
FR0025,5.0,171.38,TQ-500E500B032A
FR0025,5.0,171.38,TQ55B032A
FR0025,5.0,171.38,TQC500E500B032A
FR0035,5.0,199.36,NQ-600E600A048A
FR0035,5.0,199.36,NQ-600E600A048K
FR0035,5.0,199.36,NQ-600S600A048A
FR0035,5.0,199.36,TQ-600E600A048A
FR0040,5.0,279.66,ND-300E300B010A
FR0040,5.0,279.66,ND-300E300B010K
FR0040,5.0,279.66,TDC300E300B010A
FR0043,5.0,213.42,NQ-400E400A028A
FR0043,5.0,213.42,TQ-400E400A028A
FR0043,5.0,213.42,TQ-400E400A028E
FR0043,5.0,213.42,TQ-400E400A028K
FR0043,5.0,213.42,TQ44A028A
FR0043,5.0,213.42,TQC400E400A028A
FR0043,5.0,213.42,TQC400E400A028E
FR0044,5.0,169.44,NQ-500E5001032A
FR0044,5.0,169.44,NQ-500E500B032A
FR0044,5.0,169.44,NQ-500E500B032K
FR0044,5.0,169.44,NQ-500E500X032A
FR0044,5.0,169.44,NQ-500E500X032K
FR0044,5.0,169.44,NQ-500M500B032A
FR0044,5.0,169.44,NQC500E500B032A
FR0044,5.0,169.44,NQC500E500B032K
FR0044,5.0,169.44,TQ-500E500B032A
FR0044,5.0,169.44,TQ-500E500B032E
FR0044,5.0,169.44,TQ-500M500B032A
FR0044,5.0,169.44,TQ-500S500B032A
FR0044,5.0,169.44,TQC500E500B032A
FR0044,5.0,169.44,TQC500E500B032E
FR0044,5.0,169.44,TQC500E500B032K
FR0046,5.0,180.9,NQ-400E400A028A
FR0046,5.0,180.9,TQ-400E400A028A
FR0046,5.0,180.9,TQ-400E400A028K
FR0049,5.0,191.24,NQ-400E4001024A
FR0049,5.0,191.24,NQ-400E400B024A
FR0049,5.0,191.24,NQ-400E400B024K
FR0049,5.0,191.24,NQ-400S400B024A
FR0049,5.0,191.24,NQC400E400B024A
FR0049,5.0,191.24,TQ-400E400B024A
FR0049,5.0,191.24,TQ-400E400B024E
FR0049,5.0,191.24,TQ-400M400B024A
FR0049,5.0,191.24,TQ-400M400B024E
FR0049,5.0,191.24,TQ-400S400B024A
FR0049,5.0,191.24,TQC400E4001024A
FR0049,5.0,191.24,TQC400E400B024A
FR0049,5.0,191.24,TQC400E400B024E
FR0049,5.0,191.24,TQC400E400B024U
FR0056,3.0,575.48,NQ-400E4001020A
FR0056,3.0,575.48,NQ-400E400B020A
FR0056,3.0,575.48,NQ-400E400B020K
FR0056,3.0,575.48,NQC400E400B020A
FR0056,3.0,575.48,TQ-400E400B020A
FR0056,3.0,575.48,TQ-400E400B020E
FR0056,3.0,575.48,TQ-400E400B020K
FR0056,3.0,575.48,TQ-400E400X020A
FR0056,3.0,575.48,TQC400E4001020A
FR0056,3.0,575.48,TQC400E400B020A
FR0057,5.0,205.03,NQ-300E300A020A
FR0057,5.0,205.03,NQ-300S300A020A
FR0057,5.0,205.03,NQ-300S300A020K
FR0057,5.0,205.03,NQC300E300A020A
FR0057,5.0,205.03,NQC300E300A020K
FR0057,5.0,205.03,TQ-300E300A020A
FR0057,5.0,205.03,TQ-300E300A020K
FR0060,3.0,690.14,NQ-500E500B028A
FR0060,3.0,690.14,NQ-500E500B028K
FR0060,3.0,690.14,NQ-500S500B028A
FR0060,3.0,690.14,NQC500E500B028A
FR0060,3.0,690.14,TQ-500E5001028A
FR0060,3.0,690.14,TQ-500E5001028E
FR0060,3.0,690.14,TQ-500E500B028A
FR0060,3.0,690.14,TQC500E5001028A
FR0060,3.0,690.14,TQC500E500B028A
FR0060,3.0,690.14,TQC500E500B028K
FR0060,3.0,690.14,TQC500E500X028A
FR0060,5.0,197.37,NQ-500E500B028A
FR0060,5.0,197.37,NQ-500E500B028K
FR0060,5.0,197.37,NQ-500S500B028A
FR0060,5.0,197.37,NQC500E500B028A
FR0060,5.0,197.37,TQ-500E5001028A
FR0060,5.0,197.37,TQ-500E5001028E
FR0060,5.0,197.37,TQ-500E500B028A
FR0060,5.0,197.37,TQC500E5001028A
FR0060,5.0,197.37,TQC500E500B028A
FR0060,5.0,197.37,TQC500E500B028K
FR0060,5.0,197.37,TQC500E500X028A
FR0066,5.0,222.74,NQ-500E500A040A
FR0066,5.0,222.74,NQ-500E500A040K
FR0066,5.0,222.74,NQC500E500A040A
FR0066,5.0,222.74,TQ-500E500A040A
FR0066,5.0,222.74,TQC500E500A040A
FR0067,5.0,188.45,NQ-600E600B036A
FR0067,5.0,188.45,NQ-600S600B036A
FR0067,5.0,188.45,NQC600E600B036A
FR0067,5.0,188.45,TQ-600E600B036A
FR0068,5.0,221.17,NQ-700E7001032A
FR0068,5.0,221.17,NQ-700E7001032K
FR0068,5.0,221.17,NQ-700E700C032A
FR0068,5.0,221.17,NQ-700E700X032A
FR0068,5.0,221.17,NQ-700E700X032K
FR0068,5.0,221.17,NQC700E7001032A
