FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
F30044,5.0,290.59,XHC16E114006AAJ,1.6X1.4,GQFN,,3300.0,,0,0
F40026,3.0,293.16,PQ-300E300B016P,3X3,QFN,Full PPF,1170.0,,7,6
F70022,5.0,273.01,TQ-258E258B014C,2.58X2.58,QFN,Copper ,1575.0,,1,1
F70023,4.0,314.11,EQ-300E400Z021F,3X4,QFN,Selective PPF,910.0,,1,1
F70029,3.0,248.98,EQ-300E400Z021M,3X4,QFN,Selective PPF,910.0,,1,1
F70034,3.0,498.65,EQ-200E300B014M,3X2,QFN,Selective PPF,1710.0,,1,1
FA0133,3.0,168.86,NH-50E150024SAJ,5X5,GQFN,,440.0,,0,0
FA0142,3.0,232.65,MH-40E140015DAJ,4X4,GQFN,,700.0,,0,0
FA0180,3.0,150.73,HH-90E190064TAN,9X9,GQFN,,120.0,,0,0
FA0212,3.0,161.69,HHC50M260016TAJ,5X6,GQFN,,315.0,,0,0
FN0059,3.0,274.1,UQ-170X200A012D,2X1.7,QFN,Full PPF,1596.0,,1,1
FN0115,3.0,207.80000000000004,UQ-180E320A020P,1.8X3.2,QFN,Full PPF,1700.0,,1,1
FR0018,5.0,234.68,NQ-400E400B024A,4X4,QFN,Copper ,700.0,,11,11
FR0022,5.0,237.67,NQ-300E3001016A,3X3,SLP,Copper ,1170.0,Full Cut,5,4
FR0023,3.0,465.99500000000006,ND-300E3001010A,3X3,SLP,Copper ,1170.0,Step Cut,1,1
FR0025,5.0,232.59,NQ-500E500B032A,5X5,QFN,Copper ,440.0,,12,12
FR0035,5.0,190.32,NQ-600E600A048A,6X6,QFN,Copper ,315.0,,9,9
FR0044,5.0,197.57,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,8,8
FR0056,3.0,601.1400000000001,NQ-400E4001020A,4X4,SLP,Copper ,700.0,Step Cut,1,1
FR0057,5.0,249.52,NQ-300E300A020A,3X3,QFN,Copper ,1170.0,,5,5
FR0060,5.0,232.59,NQ-500E500B028A,5X5,QFN,Copper ,440.0,Full Cut,12,12
FR0066,5.0,232.59,NQ-500E500A040A,5X5,QFN,Copper ,440.0,,12,12
FR0090,5.0,234.68,NQ-400E400B020A,4X4,QFN,Copper ,700.0,,11,11
FR0110,5.0,155.64,NQ-800E800B052A,8X8,QFN,Copper ,175.0,,1,1
FR0147,5.0,152.01,NQ-700E700B048A,7X7,QFN,Copper ,240.0,,5,4
FR0153,5.0,152.01,NQ-700E700B048A,7X7,QFN,Copper ,240.0,,5,4
FR0158,5.0,138.19,NQ-900E900B064A,9X9,QFN,Copper ,120.0,Full Cut,5,5
FR0221,5.0,201.92,ND-500E600G008A,6X5,QFN,Copper ,385.0,,2,2
FR0250,5.0,160.45,NQ-700E7001056A,7X7,SLP,Copper ,240.0,Full Cut,6,5
FR0306,5.0,234.68,NQ-400E400B024A,4X4,QFN,Copper ,700.0,,11,11
FR0309,5.0,190.32,NQ-600E600B040A,6X6,QFN,Copper ,315.0,,9,9
FR0345,3.0,396.98,ND-200E300B008P,3X2,QFN,Full PPF,1690.0,,1,1
FR0366,5.0,353.61,ND-200E200B008A,2X2,QFN,Copper ,2470.0,,6,6
FR0370,5.0,219.19,NQ-400E500B028A,5X4,QFN,Copper ,550.0,,1,1
FR0373,3.0,222.86,NQ-600E600B040P,6X6,QFN,Selective PPF,315.0,,1,1
FR0379,5.0,249.52,TQ-300E300B016C,3X3,QFN,Copper ,1170.0,,5,5
FR0383,3.0,156.23000000000002,TQ-900E900B064A,9X9,QFN,Copper ,120.0,,1,1
FR0384,5.0,252.8,TD-250D250C006A,2.5X2.5,QFN,Copper ,1650.0,,1,1
FR0434,3.0,293.16,ND-300E300B010D,3X3,QFN,Full PPF,1170.0,,7,6
FR0437,5.0,201.15,TQ-500E700B038A,7X5,QFN,Copper ,320.0,,1,1
FR0445,5.0,190.32,NQ-600E600A048A,6X6,QFN,Copper ,315.0,,9,9
FR0450,5.0,138.19,NQ-900E900B064A,9X9,QFN,Copper ,120.0,,5,5
FR0453,3.0,351.65,TD-250S200Z004D,2.5X2.2,QFN,Full PPF,1995.0,,1,1
FR0475,3.0,180.12,NQ-750E750A064P,7.5X7.5,QFN,Full PPF,175.0,,1,1
FR0483,3.0,502.22,ND-150E150B006P,1.5X1.5,QFN,Full PPF,4080.0,,2,2
FR0497,3.0,367.13,NQ-350E350Z015F,3.5X3.5,QFN,Selective PPF,880.0,,1,1
FR0506,3.0,260.0,MQ-400E400A032A,4X4,QFN,Copper ,700.0,,1,1
FR0507,5.0,197.57,NQ-500E5001040A,5X5,SLP,Copper ,440.0,Full Cut,8,8
FR0517,5.0,221.1,NQ-400E750B036A,7.5X4,QFN,Copper ,350.0,,1,1
FR0518,3.0,347.38,TD-200E200B008D,2X2,QFN,Full PPF,2470.0,,5,5
FR0520,2.0,307.305,TQ-300E300B016D,3X3,QFN,Copper ,1824.0,,1,1
FR0532,5.0,138.19,MQ-900E900B064A,9X9,QFN,Copper ,120.0,,5,5
FR0574,3.0,177.28,ND-500E600G008D,6X5,QFN,Full PPF,385.0,,1,1
FR0598,5.0,181.12,NDC600E800G008A,8X6,QFN,Copper ,225.0,,1,1
FR0624,3.0,148.24,NQ-800E800B056D,8X8,QFN,Full PPF,175.0,,2,2
FR0630,3.0,437.34,NQ-500E500C024A,5X5,QFN,Copper ,440.0,,3,3
FR0643,5.0,197.57,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,8,8
FR0694,3.0,400.05,TD-200S160Z004D,1.6X2,QFN,Full PPF,2990.0,,1,1
FR0695,3.0,319.44,ND-280E160D004A,1.6X2.8,QFN,Copper ,2300.0,,1,1
FR0699,5.0,197.57,MQC500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,8,8
FR0726,5.0,237.67,NQ-300E3001020A,3X3,SLP,Copper ,1170.0,Full Cut,5,4
FR0736,3.0,159.54,MQC900S900B064D,9X9,QFN,Selective PPF,120.0,,1,1
FR0737,3.0,347.38,TD-200E200C006D,2X2,QFN,Full PPF,2470.0,,5,5
FR0738,3.0,188.85,NQ-700E700B048D,7X7,QFN,Full PPF,240.0,,1,1
FR0752,1.0,458.3500000000001,TD-200E200M008A,2X2,QFN,Full PPF,2470.0,,1,1
