FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
F70021,3.0,342.53,EQ-250D450L034D,2.5X4.5,QFN,Full PPF,900.0,,1.0,1.0
F70022,5.0,221.14,TQ-258E258B014C,2.58X2.58,QFN,Copper ,1575.0,,1.0,1.0
F70023,4.0,270.78,EQ-300E400Z021F,3X4,QFN,Selective PPF,910.0,,1.0,1.0
F70025,5.0,224.32,EQC500E500B032U,5X5,QFN,Copper ,440.0,,5.0,4.0
F70029,3.0,300.13,EQ-300E400Z021M,3X4,QFN,Full PPF,910.0,,1.0,1.0
F70034,3.0,365.59,EQ-200E300B014M,3X2,QFN,Full PPF,1710.0,,1.0,1.0
FA0133,3.0,269.74,NH-50E150024SAJ,5X5,GQFN,,440.0,,,
FA0157,3.0,189.26,MH-70E170056DAJ,7X7,GQFN,,200.0,,,
FA0160,5.0,285.61,EH-22F130024BAJ,2.2X3,GQFN,,1350.0,,,
FA0184,3.0,178.58,HH-80E180068TAN,8X8,GQFN,,175.0,,,
FA0215,5.0,180.18,NH-60E160071SAJ,6X6,GQFN,,271.0,,,
FN0020,3.0,468.0,UD-120X100A006D,1X1.25,QFN,Full PPF,3744.0,,1.0,1.0
FN0059,3.0,235.8,UQ-170X200A012D,2X1.7,QFN,Full PPF,1596.0,,1.0,1.0
FN0115,3.0,237.24,UQ-180E320A020P,1.8X3.2,QFN,Full PPF,1700.0,,1.0,1.0
FR0011,5.0,161.17,NQ-600E600B040A,6X6,QFN,Copper ,315.0,,5.0,5.0
FR0043,5.0,212.58,NQ-400E400A028A,4X4,QFN,Copper ,700.0,,10.0,10.0
FR0044,5.0,171.94,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,3.0,3.0
FR0153,5.0,163.05,NQ-700E700B048A,7X7,QFN,Copper ,240.0,,3.0,3.0
FR0158,5.0,158.12,NQ-900E900B064A,9X9,QFN,Copper ,120.0,Full Cut,5.0,3.0
FR0211,3.0,159.84,MQ-800M800B056P,8X8,QFN,Full PPF,175.0,,2.0,2.0
FR0221,5.0,231.23,ND-500E600G008A,6X5,QFN,Copper ,385.0,,3.0,3.0
FR0232,5.0,158.12,NQ-900E900B064A,9X9,QFN,Copper ,120.0,,5.0,3.0
FR0249,3.0,252.23,ND-320E250P004P,2.5X3.2,QFN,Full PPF,1275.0,,1.0,1.0
FR0250,5.0,152.61,NQ-700E7001056A,7X7,SLP,Copper ,240.0,Full Cut,1.0,1.0
FR0261,3.0,319.13,ND-250M200N004P,2X2.5,QFN,Full PPF,1995.0,,1.0,1.0
FR0306,5.0,212.58,NQ-400E400B024A,4X4,QFN,Copper ,700.0,,10.0,10.0
FR0309,5.0,161.17,NQ-600E600B040A,6X6,QFN,Copper ,315.0,,5.0,5.0
FR0383,5.0,158.12,TQ-900E900B064A,9X9,QFN,Copper ,120.0,,5.0,3.0
FR0437,5.0,246.70999999999998,TQ-500E700B038A,7X5,QFN,Copper ,320.0,,1.0,1.0
FR0475,3.0,245.2,NQ-750E750A064P,7.5X7.5,QFN,Full PPF,175.0,,1.0,1.0
FR0507,5.0,171.94,NQ-500E5001040A,5X5,SLP,Copper ,440.0,Full Cut,3.0,3.0
FR0521,4.0,169.94,ND-700M500R006P,5X7,QFN,Selective PPF,320.0,,1.0,1.0
FR0532,5.0,158.12,MQ-900E900B064A,9X9,QFN,Copper ,120.0,,5.0,3.0
FR0574,3.0,177.55,ND-500E600G008D,6X5,QFN,Full PPF,385.0,,1.0,1.0
FR0601,5.0,189.8,NQ-400E4001020A,4X4,SLP,Copper ,700.0,Full Cut,3.0,3.0
FR0603,3.0,350.54,ND-300E300C008D,3X3,QFN,Full PPF,1170.0,,3.0,3.0
FR0610,5.0,212.58,NQ-400E400A028A,4X4,QFN,Copper ,700.0,,10.0,10.0
FR0624,1.0,184.27,NQ-800E800B056D,8X8,QFN,Full PPF,175.0,,1.0,1.0
FR0691,5.0,158.12,NQ-900E900B064A,9X9,QFN,Copper ,120.0,,5.0,3.0
FR0695,5.0,303.09,ND-280E160D004A,1.6X2.8,QFN,Copper ,2300.0,,1.0,1.0
FR0699,5.0,171.94,MQC500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,3.0,3.0
FR0726,5.0,269.11999999999995,NQ-300E3001020A,3X3,SLP,Copper ,1170.0,Full Cut,1.0,1.0
FR0737,3.0,370.85,TD-200E200C006D,2X2,QFN,Full PPF,2470.0,,7.0,7.0
FR0747,5.0,185.58,NQ-300E300B016A,3X3,QFN,Copper ,1170.0,,1.0,1.0
FR0770,5.0,166.74,TQ-700E800B052A,8X7,QFN,Copper ,210.0,,1.0,1.0
FR0785,5.0,189.8,MQ-400E4001024A,4X4,SLP,Copper ,700.0,Full Cut,3.0,3.0
FR0888,3.0,238.42,NQ-500E500B032D,5X5,QFN,Full PPF,440.0,,3.0,3.0
FR0958,3.0,235.02,NQ-400E400B020D,4X4,QFN,Full PPF,700.0,,5.0,5.0
FR0968,5.0,161.17,NQ-600E600B036A,6X6,QFN,Copper ,315.0,,5.0,5.0
FR0969,5.0,163.05,MQC700E700B048A,7X7,QFN,Copper ,240.0,Full Cut,3.0,3.0
FR0986,3.0,205.73,MQD415E600Z015C,6X4.15,QFN,Full PPF,405.0,,1.0,1.0
FR1120,5.0,185.38,ND-350E430C008A,4.3X3.5,QFN,Copper ,720.0,,1.0,1.0
FR1141,5.0,189.8,NQ-400E4001024A,4X4,SLP,Copper ,700.0,Full Cut,3.0,3.0
FR1148,5.0,347.6000000000001,TD-200E200B006A,2X2,QFN,Copper ,2470.0,,1.0,1.0
FR1182,5.0,372.08,TD-200E2001006A,2X2,SLP,Copper ,2470.0,Full Cut,1.0,1.0
FR1203,5.0,250.94,TD-300E200B010A,2X3,QFN,Copper ,1710.0,,1.0,1.0
FR1234,3.0,200.48,NQ-400E450B026F,4.5X4,QFN,Full PPF,600.0,,1.0,1.0
FR1283,5.0,231.23,ND-500E600G008A,6X5,QFN,Copper ,385.0,,3.0,3.0
FR1285,5.0,192.92000000000002,MQC400S400X024A,4X4,SFS,Copper ,700.0,Full Cut,1.0,1.0
FR1500,5.0,231.23,ND-500E600G008A,6X5,QFN,Copper ,385.0,,3.0,3.0
FR1518,3.0,370.85,TD-200E200C006A,2X2,QFN,Full PPF,2470.0,,7.0,7.0
FR1528,5.0,163.05,TQ-700E700B048A,7X7,QFN,Copper ,240.0,,3.0,3.0
FR1536,5.0,212.58,NQC400E400A032A,4X4,QFN,Copper ,700.0,,10.0,10.0
FR1618,5.0,158.0,NDC800E800Z008A,8X8,QFN,Copper ,175.0,,1.0,1.0
FR1634,5.0,224.32,TQC500E500U031U,5X5,QFN,Copper ,440.0,,5.0,4.0
FR1660,3.0,350.54,ND-300E300B010D,3X3,QFN,Full PPF,1170.0,,3.0,3.0
FR1662,3.0,235.02,NQC400S400A032D,4X4,QFN,Full PPF,700.0,,5.0,5.0
FR1745,5.0,183.89,TQZ500M600U039U,5X6,QFN,Copper ,360.0,,6.0,5.0
FR1752,5.0,161.17,TQC600M600U048U,6X6,QFN,Copper ,315.0,,5.0,5.0
FR1758,3.0,235.02,NQC400E400B022D,4X4,QFN,Full PPF,700.0,,5.0,5.0
FR1768,5.0,183.89,TQ-500E600B036K,5X6,QFN,Copper ,360.0,,6.0,5.0
FR1806,3.0,159.84,NDC800E800Z008B,8X8,QFN,Full PPF,175.0,,2.0,2.0
FR1813,5.0,224.32,TQC500M500U031U,5X5,QFN,Copper ,440.0,,5.0,4.0
FR1819,5.0,160.95,4Q-400M600S034U,6X4,QFN,Copper ,450.0,,2.0,2.0
FR1832,5.0,181.92,4Q-400M500U030U,5X4,QFN,Copper ,560.0,,3.0,3.0
FR1837,5.0,160.95,4Q-400E600U034U,6X4,QFN,Copper ,450.0,,2.0,2.0
FR1850,5.0,181.92,TQ-400M500U024U,5X4,QFN,Copper ,560.0,,3.0,3.0
FR5001,3.0,370.85,TD-200E200C006D,2X2,QFN,Full PPF,2470.0,,7.0,7.0
FR5022,3.0,284.09,NQC700E700A056D,7X7,QFN,Full PPF,240.0,,1.0,1.0
FR5028,3.0,235.02,ND-400E400D008Y,4X4,QFN,Full PPF,700.0,,5.0,5.0
