FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
FR5177,5.0,184.66,4Q-500M600U041U,6X5,QFN,Copper ,360.0,,3.0,3.0
FR5193,3.0,248.79,NQ-400E4001024Z,4X4,SLP,Full PPF,700.0,Step Cut,7.0,7.0
FR5196,5.0,163.89,NQ-800E8001056U,8X8,SLP,Copper ,175.0,Full Cut,3.0,3.0
FR5210,5.0,183.66,TQ-500E600U039U,5X6,QFN,Copper ,360.0,,7.0,7.0
FR5213,5.0,195.95,NQC500E500A040U,5X5,QFN,Copper ,440.0,,14.0,14.0
FR5220,5.0,141.35,TD-700M500U032U,5X7,QFN,Copper ,320.0,,1.0,1.0
FR5230,5.0,180.06,TQ-400E500U025U,5X4,QFN,Copper ,560.0,,2.0,2.0
FR6002,2.0,194.92499999999998,MQ-700E7001048A,7X7,SLP,Copper ,240.0,Step Cut,1.0,1.0
FR6003,2.0,222.98,MQ-600E6001040A,6X6,SLP,,315.0,,,
FR6004,5.0,236.08,MQ-700E7001048A,7X7,SLP,,240.0,Full Cut,,
FR6006,5.0,242.79,MQ-500E6001044A,6X5,SLP,Copper ,360.0,Full Cut,1.0,1.0
FR6009,2.0,199.72500000000002,ND-300E3001006A,3X3,SLP,,1170.0,Step Cut,,
FR6011,2.0,236.5,MQ-500E5001032A,5X5,SLP,Copper ,440.0,,2.0,2.0
FR6014,3.0,203.93,NQ-500E5001032A,5X5,SLP,Full PPF,440.0,Step Cut,2.0,2.0
FR6015,3.0,248.79,NQ-400E4001020A,4X4,SLP,Full PPF,700.0,Step Cut,7.0,7.0
FR6016,3.0,228.18,ND-300E3001008A,3X3,SLP,Full PPF,1170.0,Step Cut,8.0,8.0
FR6021,2.0,196.83,MQC600E6001040A,6X6,SLP,,315.0,,,
FR6022,3.0,212.84,MQC400E4001024A,4X4,SLP,,700.0,Step Cut,,
FR6026,3.0,211.785,TQ-400E5001028A,5X4,SLP,Full PPF,550.0,Step Cut,1.0,1.0
FR6041,5.0,192.28,NQC600E6001040A,6X6,SLP,,315.0,Full Cut,,
FR6042,3.0,171.14,NQ-700E7001048A,7X7,SLP,,240.0,Step Cut,,
FR6043,3.0,209.77000000000004,NDC200E2001008A,2X2,SLP,,2470.0,Step Cut,,
FR6053,3.0,248.79,NQ-400E4001024A,4X4,SLP,Full PPF,700.0,Step Cut,7.0,7.0
FR6055,3.0,245.91,NQC400E4001024A,4X4,SLP,,700.0,Step Cut,,
FR6059,3.0,177.65,NQ-700E7001048A,7X7,SLP,Full PPF,240.0,Step Cut,5.0,5.0
FR6063,3.0,203.22,TQ-500D5001032A,5X5,SLP,,440.0,Step Cut,,
FR6084,3.0,179.41,TD-170E2501002E,2.5X1.7,SLP,,2325.0,Step Cut,,
FR6096,3.0,301.24,TQ-300E4001020A,4X3,SLP,,910.0,Step Cut,,
FR6101,2.0,139.16,ND-500E6001008U,6X5,SLP,,385.0,,,
FR6104,3.0,184.37,TD-200E2001008A,2X2,SLP,,2470.0,Step Cut,,
FR6109,5.0,265.93,NQ-700E7001048A,7X7,SLP,,240.0,Full Cut,,
FR6112,3.0,331.305,NQ-350E3501020A,3.5X3.5,SLP,,880.0,Step Cut,,
FR6116,3.0,229.67,TD-300M2001010A,2X3,SLP,,1710.0,Step Cut,,
FR6125,3.0,210.66500000000002,TQ-400E5001026C,4X5,SLP,,550.0,Step Cut,,
FR6127,3.0,535.8,TQ-140E1801010C,1.4X1.8,SLP,,3625.0,Step Cut,,
FR6131,3.0,161.62,NQ-A00EA001072U,10X10,SLP,,120.0,Step Cut,,
FR6133,3.0,179.47000000000006,TQ-700E7001048K,7X7,SLP,,240.0,Step Cut,,
FR6134,5.0,230.31,TQ-400E400B026C,4X4,QFN,Copper ,700.0,,13.0,13.0
FR6139,5.0,251.16,NQ-400E4001024A,4X4,SLP,,700.0,Full Cut,,
FR6140,3.0,228.18,NDC300E3001010A,3X3,SLP,Full PPF,1170.0,Step Cut,8.0,8.0
FR6141,5.0,222.67,NQC600E6001028A,6X6,SLP,,315.0,Full Cut,,
FR6143,5.0,306.27,TQ-300E3001016C,3X3,SLP,,1170.0,Full Cut,,
FR6159,3.0,166.46,NQ-A00EA001068A,10X10,SLP,,120.0,Step Cut,,
FR6164,3.0,160.43000000000004,NQ-900E9001064A,9X9,SLP,,120.0,Step Cut,,
FR6170,5.0,246.19,TQ-425E4251022C,4.25X4.25,SLP,,540.0,Full Cut,,
FR6172,3.0,421.17,NQ-200E2201009N,2X2.2,SLP,,2210.0,Step Cut,,
FR6180,5.0,310.32,NQ-400E4001028K,4X4,SLP,,700.0,Full Cut,,
FR6194,5.0,239.93,TQC600E6001048U,6X6,SLP,,315.0,Full Cut,,
FR6195,3.0,312.96000000000004,TQ-500E5001032K,5X5,SLP,,440.0,Step Cut,,
FR6199,3.0,208.0,TQC500E6001016U,5X6,SLP,,360.0,Step Cut,,
FR7005,2.0,291.67,TQ-500EB00B056P,11X5,QFN,Full PPF,200.0,,1.0,1.0
FR7017,5.0,187.44,MQD415E875Z016C,8.75X4.15,QFN,Copper ,270.0,,1.0,1.0
FR7021,3.0,277.0,MQD375E600Z016C,6X3.75,QFN,Full PPF,450.0,,1.0,1.0
FR8011,5.0,178.53,NQCA00EA00A088U,10X10,QFN,Copper ,120.0,,1.0,1.0
FR8025,5.0,177.93,NQC700E700B048U,7X7,QFN,Copper ,240.0,,6.0,6.0
FR8042,3.0,178.16,MQ-A00MA00B072B,10X10,QFN,Full PPF,120.0,,1.0,1.0
FR8050,5.0,156.01,NQ-C00EC00B088U,12X12,QFN,Copper ,75.0,,2.0,2.0
FR8053,5.0,156.01,NQ-C00EC00B088U,12X12,QFN,Copper ,75.0,,2.0,2.0
FR8054,5.0,149.29,MQC800E800B056A,8X8,QFN,Copper ,175.0,,4.0,4.0
FR8058,3.0,153.7,NQCC00EC001108U,12X12,SLP,Full PPF,75.0,Step Cut,1.0,1.0
FRA001,5.0,230.31,NQC400E400A032K,4X4,QFN,Copper ,700.0,,13.0,13.0
FRA027,5.0,265.6,TD-400E300B014A,3X4,QFN,Copper ,910.0,,1.0,1.0
FRA056,5.0,314.67,TD-400D300B012A,4X3,QFN,Copper ,910.0,,1.0,1.0
FRA059,3.0,204.66,NQ-400E4001022K,4X4,SLP,,700.0,Step Cut,,
FRA066,2.0,228.555,NQ-400E5001022C,5X4,SLP,Copper ,550.0,Step Cut,1.0,1.0
FRA068,5.0,271.57,TD-500D300B016K,3X5,QFN,Copper ,715.0,,1.0,1.0
FRA071,5.0,355.65,TQ-300E300B012K,3X3,QFN,Copper ,1170.0,,6.0,6.0
FRA076,5.0,184.03,TQ-700M7001048K,7X7,SLP,,240.0,Full Cut,,
FRA090,5.0,308.9,TQ-300E2001015N,3X2,SLP,Copper ,1690.0,Full Cut,1.0,1.0
FRA092,3.0,148.6,NQCA00EA001072U,10X10,SLP,Full PPF,120.0,Step Cut,1.0,1.0
FRA100,5.0,312.62,TQ-300E4001017N,3X4,SLP,Copper ,910.0,Full Cut,1.0,1.0
FRA105,5.0,239.71,NQC800M600C030K,8X6,QFN,Copper ,225.0,,2.0,2.0
FRA108,5.0,302.5,TQ-350E3751017W,3.5X3.75,SLP,Copper ,770.0,Full Cut,1.0,1.0
FRA112,2.0,228.5,NQ-900E9001064K,9X9,SLP,,120.0,,,
FRA117,5.0,175.5,,,NAN,,,,,
