FRAME_STOCK,SPEED,TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame,Unit/strip,Strip/lot
F30027,3.0,199.98,MH-45F140033EAN,4X4.5,GQFN,,560.0,30.0
F30027,3.0,199.98,MHC45F140033EAN,4X4.5,GQFN,,560.0,30.0
F30027,3.0,199.98,MHY45M240033EAJ,4X4.5,GQFN,,560.0,40.0
F30027,3.0,199.98,MHY45M240033EAN,4X4.5,GQFN,,560.0,30.0
F30027,3.0,199.98,MHZ45M240033EAN,4X4.5,GQFN,,560.0,30.0
F30043,1.0,257.89,MHC90M290064E1J,9X9,GQFN,,120.0,30.0
F30043,1.0,257.89,MHC90M290064EAN,9X9,GQFN,,120.0,30.0
F30043,1.0,257.89,MHC90M390064E1J,9X9,GQFN,,120.0,40.0
F30043,1.0,257.89,MHC90M390064E1N,9X9,GQFN,,120.0,40.0
F30043,1.0,257.89,MHC90M390064EAN,9X9,GQFN,,120.0,40.0
F30044,5.0,270.58,XHC16E114006AAJ,1.6X1.4,GQFN,,3300.0,30.0
F30044,5.0,270.58,XHC16E114006AAN,1.6X1.4,GQFN,,3300.0,20.0
F30045,1.0,282.33,MHC90M290064E1J,9X9,GQFN,,120.0,30.0
F30045,1.0,282.33,MHC90M290064E1N,9X9,GQFN,,120.0,30.0
F30045,1.0,282.33,MHC90M390064E1J,9X9,GQFN,,120.0,40.0
F30045,1.0,282.33,MHC90M390064E1N,9X9,GQFN,,120.0,40.0
F30045,1.0,282.33,MHC90M390064EAN,9X9,GQFN,,120.0,40.0
F30047,3.0,224.79,HHC40E150018TAJ,4X5,GQFN,,495.0,40.0
F30055,3.0,153.75,HHG90M390035TAJ,9X9,GQFN,,120.0,40.0
F30056,2.0,226.74,HHC50E260016TAJ,5X6,GQFN,,315.0,40.0
F30056,2.0,226.74,HHC50M260016TAJ,5X6,GQFN,,315.0,40.0
F30056,5.0,170.21,HHC50E260016TAJ,5X6,GQFN,,315.0,40.0
F30056,5.0,170.21,HHC50M260016TAJ,5X6,GQFN,,315.0,40.0
F3045F,5.0,124.14,,,,,,
