FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
F70022,5.0,292.28,TQ-258E258B014C,2.58X2.58,QFN,Copper ,1575.0,,1,1
F70025,5.0,241.98,EQC500E500B032U,5X5,QFN,Copper ,440.0,,13,11
FA0028,5.0,156.64,EHC90E190100BAN,9X9,GQFN,,120.0,,0,0
FA0124,3.0,232.7,MH-60M360048DAN,6X6,GQFN,,270.0,,0,0
FA0133,3.0,212.49,NH-50E150024SAJ,5X5,GQFN,,440.0,,0,0
FA0157,3.0,194.15,MH-70E170056DAJ,7X7,GQFN,,200.0,,0,0
FA0160,5.0,310.68,EH-22F130024BAJ,2.2X3,GQFN,,1350.0,,0,0
FA0171,5.0,202.23,MH-60E160080DAN,6X6,GQFN,,270.0,,0,0
FA0224,3.0,279.53,MH-40E140015DAJ,4X4,GQFN,,700.0,,0,0
FR0005,3.0,302.88,TQ-400E400B024A,4X4,QFN,Full PPF,700.0,,5,5
FR0011,5.0,203.16,NQ-600E600B040A,6X6,QFN,Copper ,315.0,,6,6
FR0015,5.0,138.89,TQ-700E800B052A,8X7,QFN,Copper ,210.0,,1,1
FR0025,5.0,241.98,NQ-500E500B032A,5X5,QFN,Copper ,440.0,,13,11
FR0035,5.0,203.16,NQ-600E600A048A,6X6,QFN,Copper ,315.0,,6,6
FR0043,5.0,271.05,NQ-400E400A028A,4X4,QFN,Copper ,700.0,,8,8
FR0044,5.0,234.02,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,9,9
FR0046,5.0,271.05,NQ-400E400A028A,4X4,QFN,Copper ,700.0,,8,8
FR0049,5.0,268.08,NQ-400E4001024A,4X4,SLP,Copper ,700.0,Full Cut,6,5
FR0057,5.0,304.16,NQ-300E300A020A,3X3,QFN,Copper ,1170.0,,5,3
FR0060,5.0,241.98,NQ-500E500B028A,5X5,QFN,Copper ,440.0,Full Cut,13,11
FR0147,5.0,206.88,NQ-700E700B048A,7X7,QFN,Copper ,240.0,,6,6
FR0153,5.0,206.88,NQ-700E700B048A,7X7,QFN,Copper ,240.0,,6,6
FR0158,5.0,189.73,NQ-900E900B064A,9X9,QFN,Copper ,120.0,Full Cut,7,7
FR0210,3.0,221.49,NQ-800E800A068P,8X8,QFN,Full PPF,175.0,,4,4
FR0211,3.0,221.49,MQ-800M800B056P,8X8,QFN,Full PPF,175.0,,4,4
FR0221,5.0,222.86,ND-500E600G008A,6X5,QFN,Copper ,385.0,,2,2
FR0227,5.0,196.69,NQ-800E800C044A,8X8,QFN,Copper ,175.0,,4,4
FR0232,5.0,189.73,NQ-900E900B064A,9X9,QFN,Copper ,120.0,,7,7
FR0249,3.0,362.17,ND-320E250P004P,2.5X3.2,QFN,Full PPF,1275.0,,3,3
FR0254,5.0,299.25,TQ-300E4001020A,4X3,SLP,Copper ,910.0,Full Cut,1,1
FR0259,5.0,271.05,NQ-400E400B020A,4X4,QFN,Copper ,700.0,,8,8
FR0260,5.0,252.95,MQ-300E500B024K,5X3,QFN,Copper ,715.0,,1,1
FR0293,3.0,337.45,ND-500S320R004D,3.2X5,QFN,Full PPF,660.0,,1,1
FR0306,5.0,271.05,NQ-400E400B024A,4X4,QFN,Copper ,700.0,,8,8
FR0345,3.0,376.59999999999997,ND-200E300B008P,3X2,QFN,Full PPF,1690.0,,1,1
FR0370,5.0,263.67,NQ-400E500B028A,5X4,QFN,Copper ,550.0,,1,1
FR0383,5.0,189.73,TQ-900E900B064A,9X9,QFN,Copper ,120.0,,7,7
FR0384,5.0,419.57,TD-250D250C006A,2.5X2.5,QFN,Copper ,1650.0,,1,1
FR0437,5.0,245.95999999999998,TQ-500E700B038A,7X5,QFN,Copper ,320.0,,1,1
FR0445,5.0,203.16,NQ-600E600A048A,6X6,QFN,Copper ,315.0,,6,6
FR0453,3.0,431.57,TD-250S200Z004D,2.5X2.2,QFN,Full PPF,1995.0,,1,1
FR0461,3.0,362.17,ND-320S250P004P,2.5X3.2,QFN,Full PPF,1275.0,,3,3
FR0475,3.0,206.99,NQ-750E750A064P,7.5X7.5,QFN,Full PPF,175.0,,1,1
FR0507,5.0,234.02,NQ-500E5001040A,5X5,SLP,Copper ,440.0,Full Cut,9,9
FR0510,3.0,362.17,ND-320S250Z006D,2.5X3.2,QFN,Full PPF,1275.0,,3,3
FR0512,5.0,397.68,TD-200E300B006A,3X2,QFN,Copper ,1690.0,,2,2
FR0515,5.0,241.98,NQ-500E500C024A,5X5,QFN,Copper ,440.0,,13,11
FR0518,2.0,445.08,TD-200E200B008D,2X2,QFN,Full PPF,2470.0,,1,1
