FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
F30027,3.0,187.6566666666667,MH-45F140033EAN,4X4.5,GQFN,Selective PPF,560.0,,1.0,1.0
F30043,1.0,227.55,MHC90M290064E1J,9X9,GQFN,Selective PPF,120.0,,2.0,2.0
F30044,5.0,310.14,XHC16E114006AAJ,1.6X1.4,GQFN,Selective PPF,3300.0,,1.0,1.0
F30045,1.0,227.55,MHC90M290064E1J,9X9,GQFN,Selective PPF,120.0,,2.0,2.0
F30047,3.0,198.58,HHC40E150018TAJ,4X5,GQFN,Selective PPF,495.0,,1.0,1.0
F30055,3.0,140.48,HHG90M390035TAJ,9X9,GQFN,Selective PPF,120.0,,4.0,4.0
F30056,2.0,190.58500000000004,HHC50E260016TAJ,5X6,GQFN,Selective PPF,315.0,,1.0,1.0
F3045F,5.0,124.14,,,NAN,,,,,
F40026,3.0,294.47,PQ-300E300B016P,3X3,QFN,Full PPF,1170.0,,22.0,19.0
F40031,3.0,252.34,PQC400E400A032D,4X4,QFN,Full PPF,700.0,,21.0,20.0
F40038,2.0,795.11,PDC135E100L008D,1.35X1,QFN,Full PPF,5425.0,,1.0,1.0
F69022,3.0,81.74,GS-11P107006UAN,0.7X1.1,MIS,0,9677.0,,1.0,1.0
F69039,3.0,870.3399999999999,GS-1BN11F010UAN,1.15X1.55,MIS,Full PPF,5724.0,,1.0,1.0
F69041,2.0,208.35,GS-50P250032UAN,5X5,MIS,0,504.0,,1.0,1.0
F69056,2.0,272.07,RSP40F16003261N,6X4,MIS,Copper ,520.0,,1.0,1.0
F69057,3.0,327.42,KSP40N140024LAG,4X4,MIS,Copper ,832.0,,2.0,2.0
F69061,3.0,279.78,TSQ40P160034SAN,6X4,MIS,Copper ,520.0,,2.0,2.0
F69071,3.0,327.42,KSP40N140024L1G,4X4,MIS,Copper ,832.0,,2.0,2.0
F69073,3.0,1340.2,GS-11P111009UAN,1.1X1.1,MIS,0,7680.0,,1.0,1.0
F69075,3.0,279.78,RSP40F16003261N,6X4,MIS,Copper ,520.0,,2.0,2.0
F69077,3.0,288.1,GS-40P140024CAA,4X4,MIS,0,832.0,,2.0,2.0
F69079,3.0,411.67,,,NAN,,,,,
F69080,2.0,184.48,KSP40N140024L1G,4X4,MIS,0,832.0,,2.0,2.0
F69084,5.0,260.86,GSZ50G350032CAN,5X5,MIS,Selective PPF,504.0,,1.0,1.0
F69086,3.0,480.32,GS-30N140024CAN,3X4,MIS,0,1088.0,,1.0,1.0
F69087,5.0,289.44,GS-40P140020CAN,4X4,MIS,0,832.0,,1.0,1.0
F69088,3.0,477.43,GS-30P130020UAN,3X3,MIS,0,1360.0,,2.0,2.0
F69090,3.0,477.43,GS-30P230016CAN,3X3,MIS,0,1360.0,,2.0,2.0
F69092,3.0,223.12,GS-50N150036CAN,5X5,MIS,0,504.0,,1.0,1.0
F69095,3.0,186.84,,,NAN,,,,,
F69097,3.0,179.94,TSQ50P160041SAN,6X5,MIS,0,420.0,,1.0,1.0
F69098,5.0,159.85,GS-50P250032UAN,5X5,MIS,0,504.0,,1.0,1.0
F69099,3.0,101.86,GSCC0N1C0180C0N,12X12,MIS,0,90.0,,2.0,2.0
F69100,3.0,101.86,GSCC0N1C0180CAN,12X12,MIS,0,90.0,,2.0,2.0
F69103,3.0,146.38,TSD45P135009SAN,4.5X3.5,MIS,0,828.0,,1.0,1.0
F69105,3.0,241.24,KSP40P160032G1A,6X4,MIS,0,520.0,,1.0,1.0
F69106,3.0,288.1,KSP40N140024L1G,4X4,MIS,0,832.0,,2.0,2.0
F69107,2.0,350.29,RSP40F16003261N,6X4,MIS,0,520.0,,1.0,1.0
F69109,2.0,184.48,KSP40N140024L1G,4X4,MIS,0,832.0,,2.0,2.0
F69125,3.0,373.25,MSP5CP150033TAN,5.25X5,MIS,0,480.0,,1.0,1.0
F6A004,5.0,271.95,GS-35N127028C1A,3.5X2.7,MIS,0,1276.0,,1.0,1.0
F6F002,0.5,327.1,ZM-350S350D012P,3.5X3.5,NAN,0,1044.0,,1.0,1.0
F6F005,2.0,362.33,GS-2FP13F024CAN,3.55X2.55,MIS,0,1326.0,,1.0,1.0
F70021,3.0,290.68,EQ-250D450L034D,2.5X4.5,QFN,Full PPF,900.0,,1.0,1.0
F70022,5.0,236.37,TQ-258E258B014C,2.58X2.58,QFN,Copper ,1575.0,,1.0,1.0
F70023,2.0,234.36333333333334,EQ-300E400Z021F,3X4,QFN,Selective PPF,910.0,,1.0,1.0
F70025,5.0,207.97,EQC500E500B032U,5X5,QFN,Copper ,440.0,,32.0,32.0
F70026,3.0,400.99,EQ-200E200B012C,2X2,QFN,Full PPF,2470.0,,16.0,16.0
F70029,3.0,269.33,EQ-300E400Z021M,3X4,QFN,Full PPF,910.0,,5.0,3.0
F70034,3.0,365.16,EQ-200E300B014M,3X2,QFN,Full PPF,1710.0,,1.0,1.0
F76001,3.0,244.94,EQ-350E3501022C,3.5X3.5,SLP,Copper ,880.0,Step Cut,3.0,3.0
F76005,2.0,209.7,EQ-500E5001032U,5X5,SLP,Copper ,440.0,Full Cut,6.0,5.0
F76009,5.0,293.76,EQ-350E3751017W,3.5X3.75,SLP,Copper ,770.0,Full Cut,3.0,3.0
F7A009,5.0,207.97,KQC500S500Z023A,5X5,QFN,Copper ,440.0,,32.0,32.0
F7A014,5.0,294.94,TQ-350E4501024N,3.5X4.5,SLP,Copper ,660.0,Full Cut,1.0,1.0
