FRAME_STOCK,SPEED,TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame,Unit/strip,Strip/lot
FR0699,5.0,175.0,MQC500E5001032A,5X5,SLP,Cu,440.0,40.0
FR0699,5.0,175.0,NQ-500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0699,5.0,175.0,NQ-500E500B032K,5X5,QFN,Cu,440.0,40.0
FR0699,5.0,175.0,NQ-500E500X032A,5X5,SFS,,440.0,40.0
FR0699,5.0,175.0,NQ-500S5001032A,5X5,SLP,Cu,440.0,40.0
FR0699,5.0,175.0,NQ-500S500B032A,5X5,QFN,Cu,440.0,40.0
FR0699,5.0,175.0,NQ-500S500X032A,5X5,SFS,,440.0,40.0
FR0699,5.0,175.0,NQC500E5001032A,5X5,SLP,Cu,440.0,40.0
FR0699,5.0,175.0,NQC500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0873,5.0,255.57,MQD400E450Z018C,4X4.5,QFN,Cu,600.0,40.0
FR1516,5.0,250.78,TD-400E300M016A,3X4,QFN,Cu,910.0,30.0
FR1516,5.0,250.78,TD-400E300M016K,4X3,QFN,Cu,910.0,30.0
FR1704,5.0,118.69,NDC800E800Z008A,8X8,QFN,Cu,175.0,40.0
FR1704,5.0,118.69,NDC800E800Z008K,8X8,QFN,Cu,175.0,40.0
FR1745,5.0,151.21,TQZ500M600U039U,5X6,QFN,Cu,360.0,66.0
FR1745,5.0,151.21,TQZ500M600U039W,5X6,QFN,Cu,360.0,66.0
FR5150,5.0,205.84,5QC500S500U032U,5X5,QFN,Cu,440.0,40.0
FR5150,5.0,205.84,MQ-500S500U032U,5X5,QFN,Cu,440.0,40.0
FR5150,5.0,205.84,MQC500E500U032U,5X5,QFN,Cu,440.0,40.0
FR5150,5.0,205.84,MQC500S500U032U,5X5,QFN,Cu,440.0,30.0
FR5150,5.0,205.84,NQC500E500B032A,5X5,QFN,Cu,440.0,40.0
FR5150,5.0,205.84,QQC500S500U032U,5X5,QFN,Cu,440.0,40.0
FR5230,5.0,145.17,TQ-400E500U025U,5X4,QFN,Cu,560.0,40.0
FR5230,5.0,145.17,TQ-400M500U025U,5X4,QFN,Cu,560.0,40.0
FR5230,5.0,145.17,TQC400M500U025U,4X5,QFN,Cu,560.0,40.0
