FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
FA0160,5.0,190.52,EH-22F130024BAJ,2.2X3,GQFN,,1350.0,,,
FR0434,3.0,236.04,ND-300E300B010D,3X3,QFN,Full PPF,1170.0,,2.0,2.0
FR0520,3.0,368.94,TQ-300E300B016D,3X3,QFN,Full PPF,1824.0,,1.0,1.0
FR0737,3.0,308.35,TD-200E200C006D,2X2,QFN,Full PPF,2470.0,,2.0,2.0
FR0800,3.0,236.04,TDC300M300C008P,3X3,QFN,Full PPF,1170.0,,2.0,2.0
FR0989,5.0,165.34,NQ-700E7001048A,7X7,SLP,Copper ,240.0,Full Cut,2.0,2.0
FR1027,3.0,476.0,TD-150E150B006P,1.5X1.5,QFN,Full PPF,4080.0,,1.0,1.0
FR1144,5.0,165.34,NQC700E7001048A,7X7,SLP,Copper ,240.0,Full Cut,2.0,2.0
FR1192,5.0,181.72,NQ-500E5001024A,5X5,SLP,Copper ,440.0,Full Cut,2.0,2.0
FR1230,3.0,250.9,TD-300M200B010P,2X3,QFN,Full PPF,1170.0,,1.0,1.0
FR1234,3.0,229.13,NQ-400E450B026F,4.5X4,QFN,Full PPF,600.0,,1.0,1.0
FR1263,5.0,164.0,NQ-700E7001048A,7X7,SLP,,240.0,Full Cut,,
FR1392,5.0,266.78,TD-200E2001006A,2X2,SLP,,2470.0,Full Cut,,
FR1449,5.0,268.83,TD-300E3001010A,3X3,SLP,,1170.0,Full Cut,,
FR1456,5.0,204.51,NQP400E3501014C,3.5X4,SLP,,770.0,Full Cut,,
FR1752,5.0,152.14,TQC600M600U048U,6X6,QFN,Copper ,315.0,,1.0,1.0
FR4008,5.0,283.6,TDC200E2001006K,2X2,SLP,,2470.0,Full Cut,,
FR5001,3.0,308.35,TD-200E200C006D,2X2,QFN,Full PPF,2470.0,,2.0,2.0
FR5077,5.0,172.19,4DC600M500U012U,5X6,QFN,Copper ,360.0,,3.0,3.0
FR5078,5.0,172.19,4DC600M500U012U,5X6,QFN,Copper ,360.0,,3.0,3.0
FR5079,5.0,216.02,4DC500M400U018U,4X5,QFN,Copper ,560.0,,1.0,1.0
FR5088,5.0,109.08,NQ-900E9001064U,9X9,SLP,Copper ,120.0,Full Cut,1.0,1.0
FR5145,5.0,205.35,NQ-300E3001016Z,3X3,SLP,Copper ,1170.0,Full Cut,2.0,2.0
FR5174,3.0,240.58,NQ-350E450B020Y,4.5X3.5,QFN,Full PPF,660.0,,1.0,1.0
FR5177,5.0,165.21,4Q-500M600U041U,6X5,QFN,Copper ,360.0,,1.0,1.0
FR5221,5.0,153.8,TQC500M500U031U,5X5,QFN,Copper ,440.0,,1.0,1.0
FR6014,5.0,181.72,NQ-500E5001032A,5X5,SLP,Copper ,440.0,Full Cut,2.0,2.0
FR6016,5.0,205.35,ND-300E3001008A,3X3,SLP,Copper ,1170.0,Full Cut,2.0,2.0
FR6053,5.0,158.15,NQ-400E4001024A,4X4,SLP,Copper ,700.0,Full Cut,1.0,1.0
FR6063,5.0,189.44000000000003,TQ-500D5001032A,5X5,SLP,,440.0,Full Cut,,
FR6122,5.0,203.63,TQ-300E4001020A,4X3,SLP,,910.0,Full Cut,,
FR6131,5.0,152.04999999999998,NQ-A00EA001072U,10X10,SLP,,120.0,Full Cut,,
FR6133,5.0,168.55999999999997,TQ-700E7001048K,7X7,SLP,,240.0,Full Cut,,
FR6164,5.0,161.83,NQ-900E9001064A,9X9,SLP,,120.0,Full Cut,,
FR6170,5.0,135.24,TQ-425E4251022C,4.25X4.25,SLP,,540.0,Full Cut,,
FR6172,5.0,301.3,NQ-200E2201009N,2X2.2,SLP,,2210.0,Full Cut,,
FR8021,3.0,136.59,NQC900E900B064B,9X9,QFN,Full PPF,120.0,,1.0,1.0
FR8042,3.0,148.7,MQ-A00MA00B072B,10X10,QFN,Full PPF,120.0,,1.0,1.0
FRA039,5.0,216.0,TD-600D300B022K,6X3,QFN,Copper ,585.0,,1.0,1.0
FRA066,5.0,190.6,NQ-400E5001022C,5X4,SLP,Copper ,550.0,Full Cut,1.0,1.0
FRA132,5.0,84.85,TQCA00MA001072U,10X10,SLP,,120.0,Full Cut,,
FRA159,5.0,180.94,NQ-400E3501014N,3.5X4,SLP,,770.0,Full Cut,,
FRA162,5.0,290.88,NQ-200E2001009C,2X2,SLP,,2470.0,Full Cut,,
FRV003,5.0,172.19,TQC500E600M039U,5X6,QFN,Copper ,360.0,,3.0,3.0
