FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
F30043,1.0,270.11,MHC90M290064E1J,9X9,GQFN,Selective PPF,120.0,,2.0,2.0
F30044,5.0,368.92,XHC16E114006AAJ,1.6X1.4,GQFN,Selective PPF,3300.0,,1.0,1.0
F30045,1.0,270.11,MHC90M290064E1J,9X9,GQFN,Selective PPF,120.0,,2.0,2.0
F30047,3.0,224.79,HHC40E150018TAJ,4X5,GQFN,Selective PPF,495.0,,1.0,1.0
F30055,3.0,153.75,HHG90M390035TAJ,9X9,GQFN,Selective PPF,120.0,,1.0,1.0
F30056,2.0,226.74,HHC50E260016TAJ,5X6,GQFN,Selective PPF,315.0,,1.0,1.0
F3045F,5.0,124.14,,,NAN,,,,,
F69086,3.0,442.43,GS-30N140024CAN,3X4,MIS,0,1088.0,,1.0,1.0
F70023,3.0,348.73,EQ-300E400Z021F,3X4,QFN,Full PPF,910.0,,1.0,1.0
F70026,5.0,372.9,EQ-200E200B012C,2X2,QFN,Copper ,2470.0,,1.0,1.0
F76009,5.0,380.54,EQ-350E3751017W,3.5X3.75,SLP,Copper ,770.0,Full Cut,2.0,2.0
F7A009,5.0,223.85,KQC500S500Z023A,5X5,QFN,Copper ,440.0,,7.0,6.0
F7A014,5.0,176.62,TQ-350E4501024N,3.5X4.5,SLP,Copper ,660.0,Full Cut,1.0,1.0
F7A015,3.0,286.82,ED-300E3001010K,3X3,SLP,Copper ,1170.0,Step Cut,4.0,4.0
FA0043,3.0,407.14,XH-20E124018AAJ,2.4X2,GQFN,Selective PPF,1760.0,,1.0,1.0
FA0133,2.0,289.0,NH-50E150024SAJ,5X5,GQFN,Selective PPF,440.0,,1.0,1.0
FA0147,3.0,342.85,EH-26E124008BAJ,2.4X2.6,GQFN,Selective PPF,1500.0,,1.0,1.0
FA0152,3.0,247.4,MHC40E140024DAJ,4X4,GQFN,Selective PPF,700.0,,1.0,1.0
FA0170,5.0,188.12,NHC60E160080SAJ,6X6,GQFN,Selective PPF,270.0,,1.0,1.0
FA0221,3.0,183.83,NH-70E170048SAJ,7X7,GQFN,Selective PPF,200.0,,1.0,1.0
